"210","Saint Barthelemy","Collectivity of Saint Barthelemy","Dependency"
"211","Saint Martin","Collectivity of Saint Martin","Dependency"
"212","Saint Pierre and Miquelon","Territorial Collectivity of Saint Pierre and Miquelon","Dependency"
"213","Wallis and Futuna","Collectivity of the Wallis and Futuna Islands","Dependency"
"214","French Southern and Antarctic Lands","Territory of the French Southern and Antarctic Lands","Dependency"
"215","Clipperton Island","Undefined","Dependency"
"216","Bouvet Island","Undefined","Dependency"
"217","Cook Islands","Undefined","Dependency"
"218","Niue","Undefined","Dependency"
"219","Tokelau","Undefined","Dependency"
"220","Guernsey","Bailiwick of Guernsey","Dependency"
"221","Isle of Man","Undefined","Dependency"
"222","Jersey","Bailiwick of Jersey","Dependency"
"223","Anguilla","Undefined","Dependency"
"224","Bermuda","Undefined","Dependency"
"225","British Indian Ocean Territory","Undefined","Dependency"
"226","British Sovereign Base Areas","Undefined","Dependency"
"227","British Virgin Islands","Undefined","Dependency"
"228","Cayman Islands","Undefined","Dependency"
"229","Falkland Islands (Islas Malvinas)","Undefined","Dependency"
"230","Gibraltar","Undefined","Dependency"
"231","Montserrat","Undefined","Dependency"
"232","Pitcairn Islands","Undefined","Dependency"
"233","Saint Helena","Undefined","Dependency"
"234","South Georgia and the South Sandwich Islands","Undefined","Dependency"
"235","Turks and Caicos Islands","Undefined","Dependency"
"236","Northern Mariana Islands","Commonwealth of The Northern Mariana Islands","Dependency"
"237","Puerto Rico","Commonwealth of Puerto Rico","Dependency"
"238","American Samoa","Territory of American Samoa","Dependency"
"239","Baker Island","Undefined","Dependency"
"240","Guam","Territory of Guam","Dependency"
"241","Howland Island","Undefined","Dependency"
"242","Jarvis Island","Undefined","Dependency"
"243","Johnston Atoll","Undefined","Dependency"
"244","Kingman Reef","Undefined","Dependency"
"245","Midway Islands","Undefined","Dependency"
"246","Navassa Island","Undefined","Dependency"
"247","Palmyra Atoll","Undefined","Dependency"
"248","U.S. Virgin Islands","United States Virgin Islands","Dependency"
